사건번호,접수일(년월일),성별,연령대,지역,판매유형,물품소분류,청구이유
2020034292,2020-09-01 00:00:00,남성,불명,서울특별시,방문판매,정수기,안전(제품/시설)
2020034294,2020-09-01 00:00:00,남성,30 - 39세,경기도,모바일거래,자동차주차장,계약불이행(불완전이행)
2020034295,2020-09-01 00:00:00,남성,30 - 39세,경기도,일반판매,김치냉장고,품질(물품/용역)
2020034296,2020-09-01 00:00:00,여성,30 - 39세,서울특별시,국내온라인거래,항공여객운송서비스,계약해제.해지/위약금
2020034297,2020-09-01 00:00:00,여성,60 - 64세,경기도,기타,국외여행,계약불이행(불완전이행)
2020034298,2020-09-01 00:00:00,여성,30 - 39세,서울특별시,일반판매,기타간편복,계약해제.해지/위약금
2020034299,2020-09-01 00:00:00,여성,40 - 49세,경기도,전화권유판매,투자자문(컨설팅),청약철회
2020034300,2020-09-01 00:00:00,남성,40 - 49세,서울특별시,일반판매,소파,품질(물품/용역)
2020034301,2020-09-01 00:00:00,여성,60 - 64세,서울특별시,일반판매,공예품,품질(물품/용역)
2020034302,2020-09-01 00:00:00,남성,30 - 39세,서울특별시,국내온라인거래,기타숙박시설,계약해제.해지/위약금
2020034303,2020-09-01 00:00:00,남성,30 - 39세,경기도,기타,도시가스,가격.요금
2020034304,2020-09-01 00:00:00,여성,30 - 39세,대구광역시,국내온라인거래,각종공연관람,품질(물품/용역)
2020034305,2020-09-01 00:00:00,여성,30 - 39세,서울특별시,국내온라인거래,기타의류·섬유,청약철회
2020034306,2020-09-01 00:00:00,남성,40 - 49세,경기도,기타통신판매,시계,부당행위
2020034307,2020-09-01 00:00:00,여성,50 - 59세,경기도,기타,호텔,안전(제품/시설)
2020034308,2020-09-01 00:00:00,여성,60 - 64세,경기도,일반판매,양복(서양식 의복)세탁,계약불이행(불완전이행)
2020034309,2020-09-01 00:00:00,여성,20 - 29세,서울특별시,일반판매,애완동·식물용품,계약불이행(불완전이행)
2020034311,2020-09-01 00:00:00,여성,30 - 39세,서울특별시,일반판매,양복(서양식 의복)세탁,품질(물품/용역)
2020034312,2020-09-01 00:00:00,남성,40 - 49세,전라남도,일반판매,정수기대여(렌트),계약불이행(불완전이행)
2020034313,2020-09-01 00:00:00,남성,40 - 49세,경기도,기타통신판매,IPTV,부당행위
2020034314,2020-09-01 00:00:00,여성,30 - 39세,서울특별시,국내온라인거래,스포츠시설이용,안전(제품/시설)
2020034315,2020-09-01 00:00:00,여성,30 - 39세,경기도,일반판매,기타이동통신,계약해제.해지/위약금
2020034316,2020-09-01 00:00:00,여성,65 - 69세,경기도,일반판매,셔츠,품질(물품/용역)
2020034317,2020-09-01 00:00:00,여성,30 - 39세,서울특별시,일반판매,침대,품질(물품/용역)
2020034318,2020-09-01 00:00:00,남성,불명,경기도,일반판매,캐주얼바지,품질(물품/용역)
2020034320,2020-09-01 00:00:00,여성,50 - 59세,서울특별시,국내온라인거래,원피스,청약철회
2020034322,2020-09-01 00:00:00,남성,40 - 49세,경기도,국내온라인거래,선풍기,품질(물품/용역)
2020034324,2020-09-01 00:00:00,여성,40 - 49세,서울특별시,국내온라인거래,인터넷정보이용서비스,부당행위
2020034325,2020-09-01 00:00:00,남성,30 - 39세,대구광역시,전화권유판매,투자자문(컨설팅),청약철회
2020034327,2020-09-01 00:00:00,남성,30 - 39세,경상남도,일반판매,양복(서양식 의복)세탁,계약불이행(불완전이행)
2020034328,2020-09-01 00:00:00,여성,30 - 39세,광주광역시,국내온라인거래,호텔,계약해제.해지/위약금
2020034329,2020-09-01 00:00:00,여성,30 - 39세,서울특별시,일반판매,골프회원권,품질(물품/용역)
2020034330,2020-09-01 00:00:00,여성,50 - 59세,경기도,일반판매,블라우스,품질(물품/용역)
2020034331,2020-09-01 00:00:00,여성,60 - 64세,서울특별시,일반판매,블라우스,품질(물품/용역)
2020034332,2020-09-01 00:00:00,여성,40 - 49세,서울특별시,방문판매,정수기대여(렌트),계약불이행(불완전이행)
2020034333,2020-09-01 00:00:00,남성,30 - 39세,대구광역시,국내온라인거래,호텔,계약해제.해지/위약금
2020034334,2020-09-01 00:00:00,여성,50 - 59세,전라남도,일반판매,양복(서양식 의복)세탁,계약불이행(불완전이행)
2020034335,2020-09-01 00:00:00,여성,40 - 49세,서울특별시,방문판매,헬스장,계약해제.해지/위약금
2020034336,2020-09-01 00:00:00,여성,30 - 39세,전라북도,국내온라인거래,펜션,계약해제.해지/위약금
2020034337,2020-09-01 00:00:00,여성,65 - 69세,충청남도,국내온라인거래,들기름,품질(물품/용역)
2020034338,2020-09-01 00:00:00,여성,40 - 49세,충청북도,일반판매,이동전화서비스,계약해제.해지/위약금
2020034339,2020-09-01 00:00:00,남성,70 - 79세,대구광역시,일반판매,신사복상의,단순문의.상담
2020034340,2020-09-01 00:00:00,여성,40 - 49세,울산광역시,일반판매,예식서비스,부당행위
2020034341,2020-09-01 00:00:00,여성,20 - 29세,경상남도,국내온라인거래,호텔,계약해제.해지/위약금
2020034342,2020-09-01 00:00:00,여성,50 - 59세,경기도,일반판매,원피스,품질(물품/용역)
2020034343,2020-09-01 00:00:00,남성,30 - 39세,경상남도,국내온라인거래,스포츠웨어,품질(물품/용역)
2020034344,2020-09-01 00:00:00,여성,30 - 39세,충청북도,일반판매,핸드백,품질(물품/용역)
2020034345,2020-09-01 00:00:00,여성,20 - 29세,경기도,국내온라인거래,인터넷교육서비스,계약해제.해지/위약금
2020034346,2020-09-01 00:00:00,남성,30 - 39세,서울특별시,국내온라인거래,이동전화서비스,청약철회
2020034347,2020-09-01 00:00:00,남성,50 - 59세,경기도,일반판매,가스보일러,품질(물품/용역)
2020034348,2020-09-01 00:00:00,여성,30 - 39세,경기도,국내온라인거래,호텔,계약불이행(불완전이행)
2020034350,2020-09-01 00:00:00,남성,40 - 49세,서울특별시,모바일거래,항공여객운송서비스,계약불이행(불완전이행)
2020034351,2020-09-01 00:00:00,남성,40 - 49세,경기도,기타통신판매,이동전화서비스,가격.요금
2020034352,2020-09-01 00:00:00,여성,30 - 39세,경기도,국내온라인거래,욕실설비,안전(제품/시설)
2020034353,2020-09-01 00:00:00,남성,30 - 39세,경상남도,일반판매,이동전화서비스,품질(물품/용역)
2020034354,2020-09-01 00:00:00,여성,20 - 29세,서울특별시,일반판매,미용서비스,품질(물품/용역)
2020034355,2020-09-01 00:00:00,여성,50 - 59세,서울특별시,국내온라인거래,샌들·슬리퍼,품질(물품/용역)
2020034356,2020-09-01 00:00:00,여성,40 - 49세,인천광역시,국내온라인거래,기타숙박시설,계약해제.해지/위약금
2020034357,2020-09-01 00:00:00,남성,30 - 39세,인천광역시,일반판매,예식서비스,계약해제.해지/위약금
2020034358,2020-09-01 00:00:00,여성,30 - 39세,서울특별시,국내온라인거래,아동화,품질(물품/용역)
2020034359,2020-09-01 00:00:00,여성,40 - 49세,서울특별시,국내온라인거래,펜션,계약불이행(불완전이행)
2020034360,2020-09-01 00:00:00,남성,20 - 29세,서울특별시,일반판매,헬스장,계약해제.해지/위약금
2020034361,2020-09-01 00:00:00,남성,30 - 39세,경기도,일반판매,헬스장,계약해제.해지/위약금
2020034362,2020-09-01 00:00:00,남성,40 - 49세,충청북도,일반판매,국내결혼중개,계약불이행(불완전이행)
2020034363,2020-09-01 00:00:00,남성,30 - 39세,서울특별시,모바일거래,펜션,계약해제.해지/위약금
2020034364,2020-09-01 00:00:00,남성,30 - 39세,강원도,방문판매,룸에어컨,품질(물품/용역)
2020034365,2020-09-01 00:00:00,남성,70 - 79세,부산광역시,일반판매,운동화,품질(물품/용역)
2020034366,2020-09-01 00:00:00,남성,40 - 49세,전라북도,국내온라인거래,국내여행,계약해제.해지/위약금
2020034367,2020-09-01 00:00:00,여성,50 - 59세,광주광역시,일반판매,포장이사운송서비스,품질(물품/용역)
2020034368,2020-09-01 00:00:00,남성,40 - 49세,경기도,국내온라인거래,펜션,계약해제.해지/위약금
2020034369,2020-09-01 00:00:00,남성,30 - 39세,대구광역시,모바일거래,기타숙박시설,계약해제.해지/위약금
2020034370,2020-09-01 00:00:00,여성,불명,광주광역시,일반판매,숙녀화(구두·부츠 등),품질(물품/용역)
2020034371,2020-09-01 00:00:00,남성,40 - 49세,경기도,모바일거래,인터넷정보이용서비스,부당행위
2020034372,2020-09-01 00:00:00,여성,20 - 29세,대구광역시,국내온라인거래,원피스,청약철회
2020034373,2020-09-01 00:00:00,남성,80세이상,서울특별시,기타통신판매,기타건강식품,품질(물품/용역)
2020034374,2020-09-01 00:00:00,여성,30 - 39세,서울특별시,일반판매,기타가사서비스,계약해제.해지/위약금
2020034375,2020-09-01 00:00:00,여성,20 - 29세,경기도,일반판매,헬스장,계약해제.해지/위약금
2020034377,2020-09-01 00:00:00,여성,20 - 29세,서울특별시,국내온라인거래,기타숙박시설,계약해제.해지/위약금
2020034378,2020-09-01 00:00:00,여성,30 - 39세,경기도,일반판매,헬스장,계약해제.해지/위약금
2020034379,2020-09-01 00:00:00,여성,50 - 59세,전라북도,국내온라인거래,김치냉장고,품질(물품/용역)
2020034381,2020-09-01 00:00:00,남성,30 - 39세,부산광역시,국내온라인거래,통신기기케이스,안전(제품/시설)
2020034382,2020-09-01 00:00:00,여성,20 - 29세,경기도,국내온라인거래,숙녀화(구두·부츠 등),품질(물품/용역)
2020034383,2020-09-01 00:00:00,여성,40 - 49세,부산광역시,일반판매,헬스장,계약불이행(불완전이행)
2020034384,2020-09-01 00:00:00,남성,50 - 59세,서울특별시,일반판매,스마트폰,AS불만
2020034385,2020-09-02 00:00:00,남성,40 - 49세,경상남도,일반판매,포장이사운송서비스,부당행위
2020034386,2020-09-02 00:00:00,여성,50 - 59세,서울특별시,일반판매,냉장고,품질(물품/용역)
2020034387,2020-09-02 00:00:00,여성,30 - 39세,경기도,기타,펜션,계약해제.해지/위약금
2020034389,2020-09-02 00:00:00,여성,20 - 29세,경상남도,모바일거래,항공여객운송서비스,계약해제.해지/위약금
2020034390,2020-09-02 00:00:00,여성,20 - 29세,서울특별시,국내온라인거래,인터넷교육서비스,계약불이행(불완전이행)
2020034391,2020-09-02 00:00:00,여성,20 - 29세,강원도,일반판매,식탁,품질(물품/용역)
2020034392,2020-09-02 00:00:00,여성,30 - 39세,전라남도,국내온라인거래,펜션,계약해제.해지/위약금
2020034393,2020-09-02 00:00:00,여성,20 - 29세,경기도,일반판매,헬스장,계약해제.해지/위약금
2020034395,2020-09-02 00:00:00,여성,40 - 49세,서울특별시,일반판매,호텔,품질(물품/용역)
2020034396,2020-09-02 00:00:00,남성,20 - 29세,인천광역시,일반판매,예식서비스,계약해제.해지/위약금
2020034397,2020-09-02 00:00:00,여성,50 - 59세,서울특별시,국내온라인거래,기타가구,청약철회
2020034398,2020-09-02 00:00:00,남성,20 - 29세,인천광역시,국내온라인거래,운동화,청약철회
2020034399,2020-09-02 00:00:00,여성,70 - 79세,인천광역시,일반판매,전기오븐레인지,품질(물품/용역)
2020034401,2020-09-02 00:00:00,여성,30 - 39세,대전광역시,일반판매,시계,품질(물품/용역)
2020034402,2020-09-02 00:00:00,남성,40 - 49세,경기도,일반판매,투자자문(컨설팅),계약불이행(불완전이행)
2020034403,2020-09-02 00:00:00,여성,20 - 29세,부산광역시,일반판매,애완견,계약해제.해지/위약금
2020034404,2020-09-02 00:00:00,여성,10 - 19세,인천광역시,일반판매,기타회원권,계약해제.해지/위약금
2020034405,2020-09-02 00:00:00,남성,40 - 49세,경상남도,전화권유판매,인터넷정보이용서비스,품질(물품/용역)
2020034406,2020-09-02 00:00:00,남성,50 - 59세,경기도,국내온라인거래,기타책상·테이블류,청약철회
2020034407,2020-09-02 00:00:00,남성,20 - 29세,부산광역시,일반판매,의자,품질(물품/용역)
2020034408,2020-09-02 00:00:00,남성,40 - 49세,전라북도,국내온라인거래,컴퓨터모니터(데스크탑),표시.광고
2020034410,2020-09-02 00:00:00,여성,20 - 29세,경기도,방문판매,헬스장,계약해제.해지/위약금
2020034411,2020-09-02 00:00:00,남성,40 - 49세,세종특별자치시,국내온라인거래,기타주거관리설비,품질(물품/용역)
2020034412,2020-09-02 00:00:00,남성,20 - 29세,인천광역시,방문판매,국외여행,계약해제.해지/위약금
2020034413,2020-09-02 00:00:00,남성,20 - 29세,강원도,국내온라인거래,인터넷정보이용서비스,계약해제.해지/위약금
2020034414,2020-09-02 00:00:00,남성,30 - 39세,경상남도,소셜커머스(쇼핑),펜션,계약해제.해지/위약금
2020034415,2020-09-02 00:00:00,남성,20 - 29세,경기도,일반판매,헬스장,계약해제.해지/위약금
2020034416,2020-09-02 00:00:00,남성,30 - 39세,서울특별시,국내온라인거래,인터넷교육서비스,계약불이행(불완전이행)
2020034417,2020-09-02 00:00:00,여성,50 - 59세,경기도,TV홈쇼핑,쓰레기압축기,계약해제.해지/위약금
2020034418,2020-09-02 00:00:00,남성,40 - 49세,인천광역시,일반판매,스마트폰,AS불만
2020034419,2020-09-02 00:00:00,남성,40 - 49세,서울특별시,일반판매,항공여객운송서비스,계약불이행(불완전이행)
2020034420,2020-09-02 00:00:00,여성,30 - 39세,서울특별시,방문판매,정수기대여(렌트),계약해제.해지/위약금
2020034421,2020-09-02 00:00:00,여성,30 - 39세,부산광역시,모바일거래,각종공연관람,계약해제.해지/위약금
2020034422,2020-09-02 00:00:00,여성,30 - 39세,경상남도,국내온라인거래,항공여객운송서비스,계약해제.해지/위약금
2020034423,2020-09-02 00:00:00,여성,40 - 49세,서울특별시,국내온라인거래,원피스,청약철회
2020034424,2020-09-02 00:00:00,남성,40 - 49세,서울특별시,일반판매,기타자전거,계약불이행(불완전이행)
2020034425,2020-09-02 00:00:00,여성,20 - 29세,부산광역시,방문판매,헬스장,계약해제.해지/위약금
2020034426,2020-09-02 00:00:00,여성,30 - 39세,경기도,국내온라인거래,원피스,계약불이행(불완전이행)
2020034427,2020-09-02 00:00:00,여성,30 - 39세,서울특별시,국내온라인거래,펜션,계약해제.해지/위약금
2020034430,2020-09-02 00:00:00,여성,30 - 39세,강원도,국내온라인거래,기타숙박시설,계약해제.해지/위약금
2020034431,2020-09-02 00:00:00,여성,30 - 39세,경기도,국내온라인거래,전화교육,계약해제.해지/위약금
2020034432,2020-09-02 00:00:00,여성,20 - 29세,서울특별시,국내온라인거래,여성용내의류,품질(물품/용역)
2020034433,2020-09-02 00:00:00,여성,50 - 59세,서울특별시,국내온라인거래,전기세탁기,품질(물품/용역)
2020034434,2020-09-02 00:00:00,여성,30 - 39세,경상남도,일반판매,이동전화서비스,계약불이행(불완전이행)
2020034435,2020-09-02 00:00:00,여성,30 - 39세,서울특별시,방문판매,헬스장,계약해제.해지/위약금
2020034437,2020-09-02 00:00:00,여성,20 - 29세,경상북도,일반판매,예식서비스,계약해제.해지/위약금
2020034438,2020-09-02 00:00:00,여성,10 - 19세,경기도,국내온라인거래,통신기기케이스,계약불이행(불완전이행)
2020034439,2020-09-02 00:00:00,남성,30 - 39세,인천광역시,기타통신판매,외식,계약해제.해지/위약금
2020034440,2020-09-02 00:00:00,남성,20 - 29세,대구광역시,모바일거래,모바일게임서비스,계약해제.해지/위약금
2020034441,2020-09-02 00:00:00,남성,30 - 39세,경기도,국내온라인거래,전기진공청소기,AS불만
2020034442,2020-09-02 00:00:00,남성,40 - 49세,경기도,일반판매,외식,계약해제.해지/위약금
2020034444,2020-09-02 00:00:00,여성,40 - 49세,서울특별시,일반판매,피부·체형관리서비스,계약해제.해지/위약금
2020034445,2020-09-02 00:00:00,남성,40 - 49세,서울특별시,국내온라인거래,항공여객운송서비스,계약해제.해지/위약금
2020034447,2020-09-02 00:00:00,남성,30 - 39세,서울특별시,모바일거래,기타숙박시설,계약해제.해지/위약금
2020034448,2020-09-02 00:00:00,남성,50 - 59세,경상남도,일반판매,TV,품질(물품/용역)
2020034449,2020-09-02 00:00:00,남성,60 - 64세,경기도,소셜커머스(쇼핑),유선전화기,품질(물품/용역)
2020034450,2020-09-02 00:00:00,여성,10 - 19세,경기도,일반판매,스포츠시설이용,계약해제.해지/위약금
2020034451,2020-09-02 00:00:00,여성,30 - 39세,서울특별시,일반판매,노트북컴퓨터,AS불만
2020034452,2020-09-02 00:00:00,여성,20 - 29세,서울특별시,일반판매,신발세탁,계약불이행(불완전이행)
2020034455,2020-09-02 00:00:00,남성,70 - 79세,충청북도,전화권유판매,성기능향상기기,청약철회
2020034456,2020-09-02 00:00:00,여성,20 - 29세,인천광역시,일반판매,헬스장,계약해제.해지/위약금
2020034457,2020-09-02 00:00:00,여성,40 - 49세,경상북도,일반판매,양복(서양식 의복)세탁,품질(물품/용역)
2020034458,2020-09-02 00:00:00,여성,40 - 49세,대전광역시,일반판매,양복(서양식 의복)세탁,계약불이행(불완전이행)
2020034459,2020-09-02 00:00:00,여성,50 - 59세,대구광역시,일반판매,점퍼·재킷류,품질(물품/용역)
2020034460,2020-09-02 00:00:00,남성,60 - 64세,대구광역시,일반판매,이동전화서비스,청약철회
2020034462,2020-09-02 00:00:00,여성,30 - 39세,대전광역시,국내온라인거래,펜션,계약불이행(불완전이행)
2020034463,2020-09-02 00:00:00,여성,불명,경기도,일반판매,전기세탁기,품질(물품/용역)
2020034464,2020-09-02 00:00:00,여성,30 - 39세,인천광역시,소셜커머스(쇼핑),TV,청약철회
2020034465,2020-09-02 00:00:00,남성,70 - 79세,충청남도,일반판매,기타가구,계약불이행(불완전이행)
2020034466,2020-09-02 00:00:00,남성,50 - 59세,서울특별시,방문판매,상조서비스,부당행위
2020034468,2020-09-02 00:00:00,여성,50 - 59세,충청남도,모바일거래,정수기대여(렌트),계약해제.해지/위약금
2020034469,2020-09-02 00:00:00,남성,40 - 49세,서울특별시,소셜커머스(쇼핑),전기자전거,계약불이행(불완전이행)
2020034470,2020-09-02 00:00:00,남성,40 - 49세,울산광역시,방문판매,미분류대여(렌트),계약해제.해지/위약금
2020034471,2020-09-02 00:00:00,남성,50 - 59세,서울특별시,일반판매,치과,품질(물품/용역)
2020034472,2020-09-02 00:00:00,여성,30 - 39세,인천광역시,일반판매,국외여행,계약해제.해지/위약금
2020034473,2020-09-02 00:00:00,여성,60 - 64세,서울특별시,일반판매,의류수선,계약불이행(불완전이행)
